date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:53:35	44/44	---M-Z	200	added ('OK')	text/plain	etag:%2264352e50-18%22	https://www.dana.id/robots.txt		(from )
06:53:35	48883/48883	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:34%20GMT	https://www.dana.id/	C:/My%20Web%20Sites/danaaa/www.dana.id/index.html	(from )
06:53:36	1402/1402	---M-Z	200	added ('OK')	text/css	etag:%2260c32d4d-2e2%22	https://cdnjs.cloudflare.com/ajax/libs/modern-normalize/1.1.0/modern-normalize.min.css	C:/My%20Web%20Sites/danaaa/cdnjs.cloudflare.com/ajax/libs/modern-normalize/1.1.0/modern-normalize.min.css	(from https://www.dana.id/)
06:53:36	21700/21700	---M-Z	200	added ('OK')	text/css	etag:W/%2254c4-19325168870%22	https://www.dana.id/webAssets/build/_assets/base-AVQTSEJQ.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/base-AVQTSEJQ.css	(from https://www.dana.id/)
06:53:36	2097/2097	---M-Z	200	added ('OK')	text/css	etag:W/%22831-191eacf5918%22	https://www.dana.id/webAssets/build/_assets/404-QHTB6AWT.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/404-QHTB6AWT.css	(from https://www.dana.id/)
06:53:36	10290/10290	---M-Z	200	added ('OK')	text/css	etag:W/%222832-191911ec6d8%22	https://www.dana.id/webAssets/build/_assets/index-WRN5IYNT.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/index-WRN5IYNT.css	(from https://www.dana.id/)
06:53:36	6655/6655	---M-Z	200	added ('OK')	text/css	etag:W/%2219ff-191911ec6d8%22	https://www.dana.id/webAssets/build/_assets/index-FMQYNFVM.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/index-FMQYNFVM.css	(from https://www.dana.id/)
06:53:36	495/495	---M-Z	200	added ('OK')	text/css	etag:W/%221ef-193d8fcf9f0%22	https://www.dana.id/webAssets/build/_assets/index-ZP5DTUFZ.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/index-ZP5DTUFZ.css	(from https://www.dana.id/)
06:53:37	2816/2816	---M-Z	200	added ('OK')	text/css	etag:W/%22b00-191911ec6d8%22	https://www.dana.id/webAssets/build/_assets/index-6AANLL76.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/index-6AANLL76.css	(from https://www.dana.id/)
06:53:37	23448/23448	---M-Z	200	added ('OK')	text/css	etag:W/%225b98-19325168870%22	https://www.dana.id/webAssets/build/_assets/index-EQSCUEDV.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/index-EQSCUEDV.css	(from https://www.dana.id/)
06:53:37	26049/26049	---M-Z	200	added ('OK')	text/css	etag:W/%2265c1-19325168870%22	https://www.dana.id/webAssets/build/_assets/index-55PBWUN6.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/index-55PBWUN6.css	(from https://www.dana.id/)
06:53:37	14405/14405	---M-Z	200	added ('OK')	text/css	etag:W/%223845-19325168870%22	https://www.dana.id/webAssets/build/_assets/index-FIWDRNKZ.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/index-FIWDRNKZ.css	(from https://www.dana.id/)
06:53:38	2106/2106	---M-Z	200	added ('OK')	text/css	etag:W/%2283a-191911ec6d8%22	https://www.dana.id/webAssets/build/_assets/index-RWMMCOHW.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/index-RWMMCOHW.css	(from https://www.dana.id/)
06:53:38	23807/23807	---M-Z	200	added ('OK')	text/css	etag:W/%225cff-19325168870%22	https://www.dana.id/webAssets/build/_assets/index-INWWZUPS.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/index-INWWZUPS.css	(from https://www.dana.id/)
06:53:38	29676/29676	---M-Z	200	added ('OK')	text/css	etag:W/%2273ec-19325168870%22	https://www.dana.id/webAssets/build/_assets/index-GXD4IX4G.css	C:/My%20Web%20Sites/danaaa/www.dana.id/webAssets/build/_assets/index-GXD4IX4G.css	(from https://www.dana.id/)
06:53:38	17369/17369	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Jan%202025%2022:53:38%20GMT	https://www.dana.id/ak.m	C:/My%20Web%20Sites/danaaa/www.dana.id/ak.m	(from https://www.dana.id/)
06:53:39	17369/17369	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Jan%202025%2022:53:38%20GMT	https://www.dana.id/ak.t	C:/My%20Web%20Sites/danaaa/www.dana.id/ak.t	(from https://www.dana.id/)
06:53:39	194594/194594	---M--	200	added ('OK')	text/javascript	etag:16576582080142544435	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-7364214430556854	C:/My%20Web%20Sites/danaaa/pagead2.googlesyndication.com/pagead/js/f21a7.txt	(from https://www.dana.id/)
06:53:39	48080/48080	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:39%20GMT	https://www.dana.id/personal/digital-wallet	C:/My%20Web%20Sites/danaaa/www.dana.id/personal/digital-wallet.html	(from https://www.dana.id/)
06:53:40	41060/41060	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:39%20GMT	https://www.dana.id/personal/finance	C:/My%20Web%20Sites/danaaa/www.dana.id/personal/finance.html	(from https://www.dana.id/)
06:53:41	41957/41957	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:40%20GMT	https://www.dana.id/personal/lifestyle	C:/My%20Web%20Sites/danaaa/www.dana.id/personal/lifestyle.html	(from https://www.dana.id/)
06:53:41	40960/40960	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:41%20GMT	https://www.dana.id/business	C:/My%20Web%20Sites/danaaa/www.dana.id/business.html	(from https://www.dana.id/)
06:53:42	40995/40995	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:42%20GMT	https://www.dana.id/business/payment-gateway	C:/My%20Web%20Sites/danaaa/www.dana.id/business/payment-gateway.html	(from https://www.dana.id/)
06:53:43	33773/33773	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:43%20GMT	https://www.dana.id/business/payment-gateway/calculator	C:/My%20Web%20Sites/danaaa/www.dana.id/business/payment-gateway/calculator.html	(from https://www.dana.id/)
06:53:44	39844/39844	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:43%20GMT	https://www.dana.id/business/integrated-payment	C:/My%20Web%20Sites/danaaa/www.dana.id/business/integrated-payment.html	(from https://www.dana.id/)
06:53:44	39469/39469	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:43%20GMT	https://www.dana.id/business/pos-device	C:/My%20Web%20Sites/danaaa/www.dana.id/business/pos-device.html	(from https://www.dana.id/)
06:53:45	44658/44658	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:44%20GMT	https://www.dana.id/business/microbusiness	C:/My%20Web%20Sites/danaaa/www.dana.id/business/microbusiness.html	(from https://www.dana.id/)
06:53:45	36175/36175	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2022:53:45%20GMT	https://www.dana.id/business/disbursement	C:/My%20Web%20Sites/danaaa/www.dana.id/business/disbursement.html	(from https://www.dana.id/)
